Rank,Team,2025,Last 3,Last 1,Home,Away
1,Miami,15.6,18.0,18.0,15.3,15.9
2,Boston,16.3,21.0,22.0,16.3,16.3
3,San Antonio,16.6,14.3,13.0,17.2,16.0
4,LA Lakers,17.5,23.7,25.0,17.4,17.6
5,Chicago,17.6,15.7,17.0,16.6,18.6
6,Dallas,17.7,15.0,17.0,18.1,17.5
7,New York,17.8,21.7,16.0,17.9,17.7
8,Phoenix,17.9,11.7,9.0,17.3,18.5
9,Denver,17.9,19.0,19.0,17.7,18.2
10,Milwaukee,18.0,19.7,23.0,18.0,18.1
11,Cleveland,18.2,25.7,23.0,18.2,18.2
12,New Orleans,18.3,18.7,19.0,18.6,17.9
13,LA Clippers,18.4,17.7,17.0,18.1,18.7
14,Minnesota,18.7,19.3,20.0,18.0,19.3
15,Charlotte,18.7,14.3,16.0,19.5,17.9
16,Sacramento,18.9,14.7,19.0,19.0,18.8
17,Houston,18.9,18.0,14.0,18.9,18.8
18,Utah,18.9,18.3,15.0,19.0,18.8
19,Philadelphia,19.0,17.3,15.0,18.6,19.4
20,Portland,19.0,19.7,16.0,19.6,18.4
21,Atlanta,19.0,17.0,18.0,18.6,19.4
22,Golden State,19.5,23.3,21.0,19.3,19.6
23,Indiana,19.7,22.0,24.0,19.8,19.6
24,Washington,19.7,18.3,14.0,20.2,19.3
25,Okla City,20.2,22.3,23.0,19.6,20.8
26,Orlando,20.2,22.3,20.0,20.2,20.2
27,Brooklyn,20.7,24.7,24.0,21.1,20.3
28,Detroit,20.8,21.3,23.0,21.0,20.6
29,Memphis,20.9,22.7,32.0,20.6,21.2
30,Toronto,21.2,18.0,23.0,21.0,21.4
