Rank,Team,2025,Last 3,Last 1,Home,Away
1,Boston,52.0,52.0,36.0,52.9,51.1
2,Cleveland,47.4,37.0,27.0,47.7,47.0
3,Chicago,46.1,36.0,30.0,44.9,47.4
4,Golden State,45.6,29.0,33.0,46.1,45.0
5,Minnesota,44.3,50.0,36.0,44.8,43.8
6,Phoenix,43.0,49.0,45.0,45.3,40.8
7,Milwaukee,42.6,49.0,57.0,45.0,40.3
8,San Antonio,42.4,42.0,33.0,43.4,41.3
9,Utah,41.9,48.0,48.0,43.0,40.7
10,Okla City,41.6,33.0,33.0,44.6,38.5
11,Memphis,41.2,36.0,36.0,41.8,40.6
11,Miami,41.2,42.0,30.0,42.1,40.3
13,Brooklyn,40.7,46.0,36.0,39.1,42.3
14,Atlanta,40.3,37.0,48.0,40.0,40.5
15,LA Lakers,40.0,47.0,33.0,41.0,39.0
16,Indiana,39.5,37.0,33.0,39.9,39.2
17,Washington,39.3,36.0,48.0,38.0,40.6
18,Charlotte,39.0,37.0,33.0,39.5,38.4
19,Portland,38.7,32.0,45.0,41.1,36.2
20,Philadelphia,38.1,40.0,36.0,37.7,38.5
21,Detroit,37.9,24.0,27.0,37.0,38.8
22,Sacramento,37.8,37.0,39.0,39.4,36.1
23,Houston,37.5,31.0,18.0,37.9,37.1
24,Dallas,37.4,31.0,36.0,37.9,36.9
25,LA Clippers,37.3,31.0,24.0,38.9,35.7
26,New York,36.9,29.0,27.0,36.2,37.6
27,New Orleans,36.1,36.0,21.0,37.2,35.0
28,Denver,35.9,35.0,30.0,39.1,32.8
29,Toronto,35.5,44.0,42.0,36.3,34.6
30,Orlando,33.2,24.0,24.0,33.5,32.8
