Rank,Team,2025,Last 3,Last 1,Home,Away
1,Cleveland,121.7,113.3,105.0,121.9,121.5
2,Memphis,120.7,107.3,115.0,122.8,118.5
3,Okla City,118.9,104.7,103.0,122.3,115.3
4,Denver,118.8,105.7,93.0,121.2,116.3
5,Atlanta,117.9,108.7,114.0,118.1,117.6
6,Chicago,117.5,110.3,90.0,115.9,119.0
7,Indiana,116.6,102.7,91.0,117.8,115.5
8,Sacramento,115.6,105.0,106.0,115.8,115.4
9,Boston,115.0,107.0,81.0,115.9,114.1
10,Milwaukee,115.0,112.7,118.0,118.3,111.9
11,Detroit,114.9,104.0,113.0,114.5,115.3
12,New York,114.7,113.3,108.0,116.5,112.8
13,Dallas,114.2,107.7,106.0,114.3,114.1
14,San Antonio,113.9,112.3,125.0,116.7,111.1
15,Phoenix,113.6,109.0,98.0,114.0,113.2
16,Minnesota,113.5,121.0,94.0,116.1,110.9
17,Houston,113.5,111.7,89.0,113.2,113.7
18,LA Lakers,112.6,104.3,96.0,113.8,111.4
19,LA Clippers,112.5,109.0,101.0,114.4,110.6
20,Golden State,112.5,105.7,110.0,111.9,113.1
21,Utah,111.9,116.3,105.0,111.1,112.7
22,Portland,110.9,107.0,109.0,112.7,109.0
23,Toronto,110.9,115.3,118.0,111.9,109.8
24,Miami,110.0,94.0,83.0,110.4,109.7
25,New Orleans,109.8,105.0,100.0,111.0,108.6
26,Philadelphia,109.6,111.3,102.0,109.3,110.0
27,Washington,108.0,103.7,119.0,109.8,106.3
28,Brooklyn,105.1,101.7,105.0,103.8,106.4
29,Charlotte,105.1,92.0,86.0,106.4,103.8
30,Orlando,104.9,94.0,89.0,105.5,104.3
