Rank,Team,2025,Last 3,Last 1,Home,Away
1,Denver,49.7%,42.3%,39.3%,50.0%,49.5%
2,Cleveland,48.8%,41.2%,38.9%,48.9%,48.7%
3,Indiana,48.7%,42.6%,41.4%,49.3%,48.1%
4,Milwaukee,48.4%,44.8%,45.6%,49.3%,47.5%
5,LA Clippers,48.2%,50.0%,47.6%,48.8%,47.6%
6,New York,48.0%,47.9%,47.7%,48.9%,47.1%
7,Dallas,47.9%,46.7%,47.1%,47.7%,48.0%
8,Phoenix,47.8%,47.4%,47.6%,47.5%,48.1%
9,Sacramento,47.8%,47.3%,46.1%,48.1%,47.4%
10,LA Lakers,47.7%,44.9%,42.3%,48.1%,47.3%
11,Memphis,47.7%,44.1%,46.3%,48.8%,46.5%
12,Okla City,47.5%,41.6%,40.2%,48.3%,46.7%
13,Detroit,47.4%,44.0%,46.9%,47.0%,47.8%
14,Atlanta,47.1%,44.9%,43.1%,47.4%,46.7%
15,Chicago,46.9%,44.1%,39.8%,46.2%,47.6%
16,Minnesota,46.7%,50.2%,41.2%,47.7%,45.8%
17,San Antonio,46.5%,47.5%,51.2%,47.7%,45.4%
18,Miami,46.5%,43.1%,36.0%,47.6%,45.4%
19,Boston,46.0%,45.4%,36.0%,46.3%,45.7%
20,Toronto,45.8%,44.9%,47.4%,45.8%,45.7%
21,Utah,45.4%,44.5%,44.9%,45.7%,45.2%
22,Houston,45.4%,46.7%,40.5%,45.2%,45.6%
23,Philadelphia,45.4%,41.8%,38.3%,45.1%,45.7%
24,New Orleans,45.2%,40.4%,38.5%,44.8%,45.6%
25,Portland,45.0%,42.8%,43.8%,45.4%,44.5%
26,Golden State,44.9%,43.4%,43.3%,44.8%,44.9%
27,Orlando,44.4%,40.5%,37.5%,44.6%,44.3%
28,Washington,43.9%,42.9%,51.1%,44.2%,43.5%
29,Brooklyn,43.7%,42.1%,51.4%,43.7%,43.8%
30,Charlotte,43.0%,40.0%,37.6%,43.5%,42.5%
