Rank,Team,2025,Last 3,Last 1,Home,Away
1,Okla City,9.0%,9.7%,13.0%,9.8%,8.2%
2,LA Clippers,8.4%,7.8%,8.9%,8.2%,8.7%
3,Golden State,8.3%,9.1%,13.0%,8.1%,8.6%
4,Atlanta,8.3%,7.3%,10.0%,8.3%,8.3%
5,Philadelphia,8.1%,6.3%,5.6%,7.8%,8.5%
6,Orlando,8.0%,6.8%,7.1%,7.8%,8.3%
7,New Orleans,7.4%,5.5%,4.9%,7.9%,7.0%
8,Houston,7.4%,7.7%,5.3%,7.2%,7.6%
9,Memphis,7.3%,4.6%,3.4%,7.2%,7.4%
10,Indiana,7.3%,9.2%,5.5%,7.2%,7.4%
11,New York,7.3%,8.5%,9.2%,7.0%,7.5%
12,Cleveland,7.2%,6.3%,7.4%,7.6%,6.8%
13,Portland,7.2%,8.2%,6.5%,7.4%,7.0%
14,Miami,7.2%,4.1%,3.7%,6.7%,7.6%
15,San Antonio,7.2%,7.0%,9.5%,6.8%,7.5%
16,Brooklyn,7.1%,5.8%,3.6%,7.5%,6.6%
17,Toronto,7.0%,8.0%,7.1%,6.8%,7.2%
18,Minnesota,7.0%,6.1%,6.2%,7.1%,7.0%
19,Detroit,6.9%,6.9%,7.6%,6.8%,7.1%
20,Denver,6.9%,7.1%,5.1%,7.0%,6.8%
21,Dallas,6.8%,6.8%,7.5%,6.6%,6.9%
22,LA Lakers,6.7%,4.7%,4.3%,6.9%,6.6%
23,Sacramento,6.7%,5.5%,5.6%,6.7%,6.8%
24,Charlotte,6.6%,6.5%,9.2%,6.1%,7.0%
25,Chicago,6.5%,7.9%,8.2%,6.4%,6.6%
26,Boston,6.5%,4.5%,3.5%,6.0%,7.0%
27,Washington,6.5%,5.6%,3.6%,6.6%,6.4%
28,Phoenix,6.4%,7.8%,5.9%,6.5%,6.4%
29,Milwaukee,6.4%,7.0%,7.6%,6.5%,6.3%
30,Utah,5.8%,7.4%,5.1%,5.8%,5.9%
