Rank,Team,2025,Last 3,Last 1,Home,Away
1,Milwaukee,38.7%,41.5%,47.5%,40.1%,37.3%
2,Cleveland,38.1%,31.6%,25.7%,37.9%,38.3%
3,Phoenix,37.8%,36.8%,34.1%,37.7%,37.9%
4,Minnesota,37.4%,43.5%,35.3%,38.3%,36.6%
5,Indiana,37.3%,37.0%,39.3%,37.6%,37.0%
6,LA Clippers,37.3%,32.6%,29.6%,38.5%,36.0%
7,Denver,37.1%,28.7%,22.7%,38.8%,35.3%
8,Boston,36.8%,38.0%,30.0%,37.0%,36.6%
9,Miami,36.7%,32.8%,20.4%,38.1%,35.3%
10,Chicago,36.6%,30.5%,27.0%,35.7%,37.6%
11,Memphis,36.6%,34.6%,38.7%,37.0%,36.2%
12,New York,36.6%,32.6%,28.1%,36.4%,36.8%
13,LA Lakers,36.5%,37.9%,29.7%,36.6%,36.4%
14,Okla City,36.5%,32.4%,27.5%,38.0%,35.0%
15,Dallas,36.5%,33.0%,31.6%,36.3%,36.6%
16,Golden State,36.2%,32.6%,28.2%,36.6%,35.9%
17,Detroit,36.0%,26.1%,26.5%,35.2%,36.8%
18,Sacramento,35.8%,37.8%,39.4%,37.7%,33.9%
19,Atlanta,35.7%,34.3%,34.0%,35.3%,36.0%
20,San Antonio,35.7%,37.5%,34.4%,36.6%,34.7%
21,Houston,35.5%,39.7%,33.3%,35.1%,35.9%
22,Utah,35.0%,34.0%,38.1%,36.1%,34.0%
23,Toronto,34.8%,33.8%,35.9%,35.2%,34.4%
24,New Orleans,34.7%,29.5%,18.4%,35.3%,34.2%
25,Brooklyn,34.4%,35.9%,34.3%,34.0%,34.9%
26,Portland,34.2%,27.4%,35.7%,35.9%,32.4%
27,Philadelphia,34.1%,31.0%,27.3%,34.0%,34.2%
28,Charlotte,33.9%,32.5%,28.2%,34.1%,33.7%
29,Washington,33.5%,32.4%,43.2%,32.9%,34.0%
30,Orlando,31.5%,24.0%,21.1%,32.1%,31.0%
