Rank,Team,2025,Last 3,Last 1,Home,Away
1,Boston,47.2,45.7,40.0,47.7,46.6
2,Chicago,42.0,39.3,37.0,41.9,42.1
3,Golden State,41.9,29.7,39.0,42.0,41.8
4,Cleveland,41.4,39.0,35.0,42.0,40.9
5,Utah,39.8,47.0,42.0,39.8,39.9
6,San Antonio,39.6,37.3,32.0,39.5,39.7
7,Minnesota,39.4,38.3,34.0,38.9,39.9
8,Brooklyn,39.4,42.7,35.0,38.4,40.4
9,Washington,39.1,37.0,37.0,38.4,39.8
10,Charlotte,38.3,38.0,39.0,38.7,38.0
11,Phoenix,38.0,44.3,44.0,40.1,35.8
12,Okla City,37.9,34.0,40.0,39.1,36.7
13,Portland,37.7,39.0,42.0,38.2,37.3
14,Atlanta,37.6,36.0,47.0,37.8,37.4
15,Memphis,37.5,34.7,31.0,37.7,37.3
16,Miami,37.5,42.7,49.0,36.8,38.0
17,Philadelphia,37.2,43.0,44.0,36.9,37.5
18,Milwaukee,36.7,39.3,40.0,37.4,36.1
19,LA Lakers,36.5,41.3,37.0,37.3,35.7
20,Indiana,35.3,33.3,28.0,35.3,35.3
21,Houston,35.2,26.0,18.0,36.0,34.5
22,Sacramento,35.2,32.7,33.0,34.8,35.5
23,Detroit,35.1,30.7,34.0,35.1,35.1
24,Orlando,35.1,33.3,38.0,34.9,35.3
25,New Orleans,34.6,40.7,38.0,35.1,34.1
26,Dallas,34.1,31.3,38.0,34.8,33.6
27,Toronto,34.0,43.3,39.0,34.4,33.5
28,New York,33.6,29.7,32.0,33.2,34.1
29,LA Clippers,33.4,31.7,27.0,33.7,33.0
30,Denver,32.3,40.7,44.0,33.5,31.0
