Rank,Team,2025,Last 3,Last 1,Home,Away
1,Boston,17.3,17.3,12.0,17.6,17.0
2,Cleveland,15.8,12.3,9.0,15.9,15.7
3,Chicago,15.4,12.0,10.0,15.0,15.8
4,Golden State,15.2,9.7,11.0,15.4,15.0
5,Minnesota,14.8,16.7,12.0,14.9,14.6
6,Phoenix,14.3,16.3,15.0,15.1,13.6
7,Milwaukee,14.2,16.3,19.0,15.0,13.4
8,San Antonio,14.1,14.0,11.0,14.5,13.8
9,Utah,14.0,16.0,16.0,14.3,13.6
10,Okla City,13.9,11.0,11.0,14.9,12.8
11,Memphis,13.7,12.0,12.0,13.9,13.5
11,Miami,13.7,14.0,10.0,14.0,13.4
13,Brooklyn,13.6,15.3,12.0,13.0,14.1
14,Atlanta,13.4,12.3,16.0,13.3,13.5
15,LA Lakers,13.3,15.7,11.0,13.7,13.0
16,Indiana,13.2,12.3,11.0,13.3,13.1
17,Washington,13.1,12.0,16.0,12.7,13.5
18,Charlotte,13.0,12.3,11.0,13.2,12.8
19,Portland,12.9,10.7,15.0,13.7,12.1
20,Philadelphia,12.7,13.3,12.0,12.6,12.8
21,Detroit,12.6,8.0,9.0,12.3,12.9
22,Sacramento,12.6,12.3,13.0,13.1,12.0
23,Houston,12.5,10.3,6.0,12.6,12.4
24,Dallas,12.5,10.3,12.0,12.6,12.3
25,LA Clippers,12.4,10.3,8.0,13.0,11.9
26,New York,12.3,9.7,9.0,12.1,12.5
27,New Orleans,12.0,12.0,7.0,12.4,11.7
28,Denver,12.0,11.7,10.0,13.0,10.9
29,Toronto,11.8,14.7,14.0,12.1,11.5
30,Orlando,11.1,8.0,8.0,11.2,10.9
