Rank,Team,2025,Last 3,Last 1,Home,Away
1,Okla City,11.8,13.3,8.0,11.2,12.5
2,Boston,12.0,12.3,16.0,11.8,12.2
3,Cleveland,13.1,16.0,12.0,13.3,12.9
4,New York,13.4,16.7,18.0,13.2,13.5
5,Sacramento,13.4,14.0,18.0,13.6,13.2
6,Milwaukee,13.4,13.0,18.0,14.0,12.9
7,Indiana,13.4,19.0,23.0,13.3,13.6
8,Philadelphia,13.6,15.7,15.0,13.1,14.1
9,Miami,13.7,16.7,19.0,13.1,14.3
10,Houston,13.9,12.3,11.0,14.0,13.8
11,San Antonio,13.9,14.0,12.0,13.9,13.9
12,LA Lakers,14.0,15.3,15.0,13.9,14.1
13,Orlando,14.0,12.0,12.0,14.3,13.7
14,Dallas,14.0,14.7,16.0,13.5,14.5
15,Golden State,14.1,16.0,17.0,14.2,13.9
16,Phoenix,14.1,13.0,13.0,13.7,14.4
17,Denver,14.5,18.3,23.0,14.0,15.0
18,New Orleans,14.6,14.7,13.0,14.5,14.8
19,Minnesota,14.6,18.0,21.0,14.4,14.9
20,LA Clippers,14.7,10.7,15.0,14.4,14.9
21,Chicago,14.7,14.7,18.0,14.7,14.7
22,Detroit,15.0,16.0,15.0,14.5,15.4
23,Brooklyn,15.2,16.0,19.0,15.7,14.6
24,Toronto,15.3,11.0,13.0,15.4,15.3
25,Atlanta,15.4,11.3,10.0,15.6,15.1
26,Charlotte,15.5,17.7,17.0,14.4,16.6
27,Washington,15.6,15.3,11.0,15.8,15.3
28,Memphis,15.8,17.7,22.0,15.7,16.0
29,Portland,16.0,18.3,16.0,16.5,15.4
30,Utah,17.2,18.0,14.0,17.0,17.4
